trial,model,workload,concurrencyLevel,ioBytesPerTask,numTasks,seconds,throughputTasksPerSec,avgLatencyMicros
1,fixed-pool-8,io-file-rw-65536B-chunk131072,8,65536,64,0.009873875,6481.75108556671,1149.7865
2,fixed-pool-8,io-file-rw-65536B-chunk131072,8,65536,64,0.009800083,6530.556935079019,1131.667984375
3,fixed-pool-8,io-file-rw-65536B-chunk131072,8,65536,64,0.01006525,6358.5107175678695,1200.660125
1,work-stealing-8,io-file-rw-65536B-chunk131072,8,65536,64,0.019881459,3219.0796460159186,2259.7570625
2,work-stealing-8,io-file-rw-65536B-chunk131072,8,65536,64,0.009838125,6505.304618512166,1158.0000625
3,work-stealing-8,io-file-rw-65536B-chunk131072,8,65536,64,0.010485708,6103.545893133778,1215.54359375
1,virtual-threads,io-file-rw-65536B-chunk131072,8,65536,64,0.011512042,5559.395978576173,2072.591046875
2,virtual-threads,io-file-rw-65536B-chunk131072,8,65536,64,0.010394917,6156.85531688228,1892.168
3,virtual-threads,io-file-rw-65536B-chunk131072,8,65536,64,0.009856958,6492.875388126844,1807.449171875
1,fixed-pool-8,io-file-rw-262144B-chunk131072,8,262144,64,0.00983025,6510.51600925714,1124.199828125
2,fixed-pool-8,io-file-rw-262144B-chunk131072,8,262144,64,0.0097785,6544.971110088459,1132.71684375
3,fixed-pool-8,io-file-rw-262144B-chunk131072,8,262144,64,0.010601541,6036.858226554044,1261.736296875
1,work-stealing-8,io-file-rw-262144B-chunk131072,8,262144,64,0.010815125,5917.638492389131,1263.733703125
2,work-stealing-8,io-file-rw-262144B-chunk131072,8,262144,64,0.010658542,6004.573608660547,1207.374375
3,work-stealing-8,io-file-rw-262144B-chunk131072,8,262144,64,0.010255,6240.8581179912235,1197.609296875
1,virtual-threads,io-file-rw-262144B-chunk131072,8,262144,64,0.011398792,5614.630041499135,4614.60940625
2,virtual-threads,io-file-rw-262144B-chunk131072,8,262144,64,0.010651167,6008.73124982455,3061.485078125
3,virtual-threads,io-file-rw-262144B-chunk131072,8,262144,64,0.009440291,6779.452031722327,1882.516953125
1,fixed-pool-8,io-file-rw-1048576B-chunk131072,8,1048576,64,0.01345925,4755.094080279361,1572.06703125
2,fixed-pool-8,io-file-rw-1048576B-chunk131072,8,1048576,64,0.01292,4953.560371517028,1505.65109375
3,fixed-pool-8,io-file-rw-1048576B-chunk131072,8,1048576,64,0.022212625,2881.2443373982137,2671.02075
1,work-stealing-8,io-file-rw-1048576B-chunk131072,8,1048576,64,0.012982083,4929.871423561227,1492.7949375
2,work-stealing-8,io-file-rw-1048576B-chunk131072,8,1048576,64,0.012591042,5082.978835270345,1468.561203125
3,work-stealing-8,io-file-rw-1048576B-chunk131072,8,1048576,64,0.012714375,5033.672516344689,1439.39459375
